"film","labelFilm","director","labelDirector","starring","labelStarring"
"http://id.dbpedia.org/resource/Pengkhianatan_G_30_S/PKI","Pengkhianatan G 30 S/PKI","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Umar_Kayam","Umar Kayam"
"http://id.dbpedia.org/resource/Pengkhianatan_G_30_S/PKI","Pengkhianatan G 30 S/PKI","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Ade_Irawan","Ade Irawan"
"http://id.dbpedia.org/resource/Pengkhianatan_G_30_S/PKI","Pengkhianatan G 30 S/PKI","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Amoroso_Katamsi","Amoroso Katamsi"
"http://id.dbpedia.org/resource/Pengkhianatan_G_30_S/PKI","Pengkhianatan G 30 S/PKI","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Wawan_Wanisar","Wawan Wanisar"
"http://id.dbpedia.org/resource/Pengkhianatan_G_30_S/PKI","Pengkhianatan G 30 S/PKI","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Sofia_WD","Sofia WD"
"http://id.dbpedia.org/resource/Taksi_(film)","Taksi (film)","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Rano_Karno","Rano Karno"
"http://id.dbpedia.org/resource/Taksi_(film)","Taksi (film)","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Meriam_Bellina","Meriam Bellina"
"http://id.dbpedia.org/resource/Taksi_(film)","Taksi (film)","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Henky_Solaiman","Henky Solaiman"
"http://id.dbpedia.org/resource/Taksi_(film)","Taksi (film)","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Firda_Razak","Firda Razak"
"http://id.dbpedia.org/resource/Taksi_(film)","Taksi (film)","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Nani_Wijaya","Nani Wijaya"
"http://id.dbpedia.org/resource/Taksi_(film)","Taksi (film)","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Remy_Silado","Remy Silado"
"http://id.dbpedia.org/resource/Serangan_Fajar","Serangan Fajar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Amoroso_Katamsi","Amoroso Katamsi"
"http://id.dbpedia.org/resource/Bibir_Mer","Bibir Mer","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Jajang_C._Noer","Jajang C. Noer"
"http://id.dbpedia.org/resource/Bibir_Mer","Bibir Mer","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Fadly","Fadly"
"http://id.dbpedia.org/resource/Bibir_Mer","Bibir Mer","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Tio_Pakusadewo","Tio Pakusadewo"
"http://id.dbpedia.org/resource/Bibir_Mer","Bibir Mer","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Bella_Esperance_Lee","Bella Esperance Lee"
"http://id.dbpedia.org/resource/Harmonikaku","Harmonikaku","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Fachrul_Rozi","Fachrul Rozi"
"http://id.dbpedia.org/resource/Harmonikaku","Harmonikaku","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Nani_Wijaya","Nani Wijaya"
"http://id.dbpedia.org/resource/Harmonikaku","Harmonikaku","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/W.D_Mochtar","W.D Mochtar"
"http://id.dbpedia.org/resource/Yuyun_Pasien_Rumah_Sakit_Jiwa","Yuyun Pasien Rumah Sakit Jiwa","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Dorman_Borisman","Dorman Borisman"
"http://id.dbpedia.org/resource/Yuyun_Pasien_Rumah_Sakit_Jiwa","Yuyun Pasien Rumah Sakit Jiwa","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Sofia_WD","Sofia WD"
"http://id.dbpedia.org/resource/Yuyun_Pasien_Rumah_Sakit_Jiwa","Yuyun Pasien Rumah Sakit Jiwa","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/W.D_Mochtar","W.D Mochtar"
"http://id.dbpedia.org/resource/Yuyun_Pasien_Rumah_Sakit_Jiwa","Yuyun Pasien Rumah Sakit Jiwa","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Ida_kusumah","Ida kusumah"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Broery_Marantika","Broery Marantika"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Broery_Marantika","Broery Marantika"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Broery_Marantika","Broery Marantika"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Broery_Marantika","Broery Marantika"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Rano_Karno","Rano Karno"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Yenny_Rachman","Yenny Rachman"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Ruth_Pelupessy","Ruth Pelupessy"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Rina_Hasyim","Rina Hasyim"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Rachmat_Hidayat","Rachmat Hidayat"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Enteng_Tanamal","Enteng Tanamal"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Pitrajaya_Burnama","Pitrajaya Burnama"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Didu","Didu"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Dian_Anggrianie","Dian Anggrianie"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Jean_Pattikawa","Jean Pattikawa"
"http://id.dbpedia.org/resource/Jangan_Biarkan_Mereka_Lapar","Jangan Biarkan Mereka Lapar","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Sukarno_M._Noor","Sukarno M. Noor"
"http://id.dbpedia.org/resource/Rio_Anakku","Rio Anakku","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Dicky_Zulkarnaen","Dicky Zulkarnaen"
"http://id.dbpedia.org/resource/Rio_Anakku","Rio Anakku","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Rano_Karno","Rano Karno"
"http://id.dbpedia.org/resource/Rio_Anakku","Rio Anakku","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Titiek_Puspa","Titiek Puspa"
"http://id.dbpedia.org/resource/Rio_Anakku","Rio Anakku","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Lenny_Marlina","Lenny Marlina"
"http://id.dbpedia.org/resource/Rio_Anakku","Rio Anakku","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Kusno_Sudjarwadi","Kusno Sudjarwadi"
"http://id.dbpedia.org/resource/Rio_Anakku","Rio Anakku","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Alam_Surawidjaja","Alam Surawidjaja"
"http://id.dbpedia.org/resource/Suci_Sang_Primadona","Suci Sang Primadona","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Rano_Karno","Rano Karno"
"http://id.dbpedia.org/resource/Suci_Sang_Primadona","Suci Sang Primadona","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Srimulat","Srimulat"
"http://id.dbpedia.org/resource/Suci_Sang_Primadona","Suci Sang Primadona","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Joice_Erna","Joice Erna"
"http://id.dbpedia.org/resource/Suci_Sang_Primadona","Suci Sang Primadona","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Dorman_Borisman","Dorman Borisman"
"http://id.dbpedia.org/resource/Suci_Sang_Primadona","Suci Sang Primadona","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Alam_Surawidjaja","Alam Surawidjaja"
"http://id.dbpedia.org/resource/Suci_Sang_Primadona","Suci Sang Primadona","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Menzano","Menzano"
"http://id.dbpedia.org/resource/Suci_Sang_Primadona","Suci Sang Primadona","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/Sukarno_M._Noor","Sukarno M. Noor"
"http://id.dbpedia.org/resource/Biarkan_Bulan_Itu","Biarkan Bulan Itu","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/El_Manik","El Manik"
"http://id.dbpedia.org/resource/Biarkan_Bulan_Itu","Biarkan Bulan Itu","http://id.dbpedia.org/resource/Arifin_C._Noer","Arifin C. Noer","http://id.dbpedia.org/resource/HIM_Damsyik","HIM Damsyik"
